"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","prediction_prob","prediction_class"
12815,"Fresno europeo","20/01/2011 12:51","Medio (4 - 8 mts)",100,"Grande",-68.8470749144,-32.8638452547,4,"Cuarta Oeste",1173332.70145,0,0.343827335541219,0
44615,"Morera","26/08/2011 07:59","Alto (> 8 mts)",150,"Grande",-68.8228873783,-32.8672179401,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.347280681547193,0
43782,"Morera","19/10/2011 08:47","Medio (4 - 8 mts)",170,"Grande",-68.8323609515,-32.8814728027,3,"Parque O'Higgins",1531146.02653,0,0.638369927297256,0
28303,"Pltano","10/03/2011 14:58","Alto (> 8 mts)",110,"Grande",-68.8493817639,-32.8927316381,2,"Barrio Civico",2366816.36021,1,0.995313463778982,0
47204,"Morera","20/09/2011 10:13","Medio (4 - 8 mts)",235,"Grande",-68.8349224458,-32.8739938699,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.837376473447294,0
24632,"Pltano","17/01/2011 12:26","Alto (> 8 mts)",300,"Grande",-68.8419964461,-32.9002050903,2,"Barrio Civico",2366816.36021,0,0.167065632608718,0
15404,"Eucalyptus","15/11/2011 13:02","Alto (> 8 mts)",250,"Grande",-68.8610591037,-32.8697392674,7,"Residencial Parque",1786336.08966,0,0.0377446888586933,0
2187,"Morera","04/11/2011 17:01","Bajo (2 - 4 mts)",60,"Mediano",-68.832707831,-32.8863340473,3,"Parque O'Higgins",1531146.02653,0,0.971183911753937,0
10344,"Morera","30/11/2010 11:22","Medio (4 - 8 mts)",45,"Mediano",-68.8556870063,-32.8727848053,6,"Residencial Norte",2694682.37982,0,0.0911137360791572,0
37928,"Paraiso","18/11/2010 11:27","Alto (> 8 mts)",170,"Grande",-68.8492317874,-32.8739706377,6,"Residencial Norte",2694682.37982,1,0.0295752140963903,0
526,"Fresno europeo","08/03/2012 18:13","Muy bajo (1 - 2 mts)",3,"Chico",-68.8211496244,-32.8686195582,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.312028467246538,0
39098,"Fresno europeo","23/12/2010 11:00","Medio (4 - 8 mts)",50,"Mediano",-68.8540049278,-32.8713038584,6,"Residencial Norte",2694682.37982,0,0.629829940179548,0
31192,"Paraiso sombrilla","07/02/2011 09:16","Medio (4 - 8 mts)",80,"Grande",-68.853598969,-32.8636581641,6,"Residencial Norte",2694682.37982,0,0.00628862934464292,0
24925,"Morera","10/02/2011 08:50","Alto (> 8 mts)",146,"Grande",-68.8382890104,-32.8973927578,2,"Barrio Civico",2366816.36021,0,0.525778613987606,0
42474,"Perenne","30/09/2011 14:58","Medio (4 - 8 mts)",70,"Grande",-68.8315093422,-32.8764719516,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.0180472186432626,0
29502,"Morera","18/02/2011 11:17","Alto (> 8 mts)",118,"Grande",-68.8450005581,-32.8921043646,2,"Barrio Civico",2366816.36021,1,0.726896117518985,0
39247,"Morera","28/12/2010 09:54","Alto (> 8 mts)",110,"Grande",-68.8550458965,-32.8720065872,6,"Residencial Norte",2694682.37982,0,0.453267160963713,0
42219,"Morera","02/05/2011 09:50","Alto (> 8 mts)",190,"Grande",-68.8396005504,-32.8739640686,4,"Cuarta Oeste",1173332.70145,0,0.194723753007687,0
45062,"Fresno europeo","31/08/2011 12:31","Alto (> 8 mts)",130,"Grande",-68.822942073,-32.8711724972,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.894832195114173,0
14976,"Paraiso","21/12/2011 16:23","Bajo (2 - 4 mts)",60,"Mediano",-68.880672676,-32.8715596361,8,"Aeroparque",2203364.73622,0,0.329850699934968,0
45169,"Fresno europeo","31/08/2011 13:52","Medio (4 - 8 mts)",123,"Grande",-68.8232000603,-32.8709314787,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.154155195573954,0
31749,"Pltano","28/06/2011 12:04","Alto (> 8 mts)",150,"Grande",-68.8580993657,-32.8895013718,5,"Residencial Sur",2423808.92355,0,0.675547443617811,0
27665,"Fresno europeo","28/10/2011 11:37","Alto (> 8 mts)",105,"Grande",-68.8367098039,-32.8950786809,2,"Barrio Civico",2366816.36021,0,0.46861606251014,0
34381,"Morera","28/03/2011 10:05","Medio (4 - 8 mts)",80,"Grande",-68.8512242869,-32.8749735898,6,"Residencial Norte",2694682.37982,0,0.535258874904204,0
24416,"Morera","21/01/2011 09:06","Alto (> 8 mts)",120,"Grande",-68.8454564709,-32.9036448287,2,"Barrio Civico",2366816.36021,0,0.460131742545248,0
19325,"Morera","19/07/2011 14:00","Alto (> 8 mts)",190,"Grande",-68.8357205649,-32.8710229375,4,"Cuarta Oeste",1173332.70145,0,0.878192508739776,0
2308,"Morera","04/11/2011 10:46","Bajo (2 - 4 mts)",35,"Mediano",-68.8396881279,-32.892925966,2,"Barrio Civico",2366816.36021,0,0.241034178672956,0
43087,"Morera","03/10/2011 09:18","Medio (4 - 8 mts)",160,"Grande",-68.8309133683,-32.8779537113,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.232442179049163,0
17881,"Morera","01/08/2011 10:46","Alto (> 8 mts)",176,"Grande",-68.8369524702,-32.8676196611,4,"Cuarta Oeste",1173332.70145,0,0.830186401563882,0
24552,"Morera","27/01/2011 10:20","Alto (> 8 mts)",115,"Grande",-68.8435206893,-32.9019933451,2,"Barrio Civico",2366816.36021,0,0.26700228314965,0
37335,"Morera","17/03/2011 09:25","Alto (> 8 mts)",170,"Grande",-68.8574738321,-32.8751070571,6,"Residencial Norte",2694682.37982,0,0.260599320545328,0
39826,"Morera","29/04/2011 10:16","Alto (> 8 mts)",95,"Grande",-68.8468252826,-32.8827629203,1,"Parque Central",1655357.93265,1,0.189038013874816,0
8237,"Morera","28/02/2011 18:27","Medio (4 - 8 mts)",42,"Mediano",-68.843257399,-32.8932409331,2,"Barrio Civico",2366816.36021,1,0.228364528055283,0
4092,"Fresno europeo","30/09/2011 12:53","Bajo (2 - 4 mts)",30,"Mediano",-68.8295602037,-32.8778840602,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.2707592539139,0
1947,"Acacia SP","18/11/2011 17:01","Muy bajo (1 - 2 mts)",8,"Chico",-68.859195367,-32.8706653808,6,"Residencial Norte",2694682.37982,0,0.309105412108836,0
23327,"Tipa","28/01/2011 14:10","Medio (4 - 8 mts)",78,"Grande",-68.8501874307,-32.9016934033,2,"Barrio Civico",2366816.36021,0,0.399106873471866,0
12537,"Morera","10/01/2011 14:05","Alto (> 8 mts)",220,"Grande",-68.8442360246,-32.8626240831,4,"Cuarta Oeste",1173332.70145,0,0.291300141940165,0
34568,"Fresno europeo","30/03/2011 13:05","Bajo (2 - 4 mts)",60,"Mediano",-68.848368919,-32.875381622,6,"Residencial Norte",2694682.37982,0,0.407014030421486,0
6302,"Morera","27/06/2011 11:40","Alto (> 8 mts)",100,"Grande",-68.8588901551,-32.8903024261,5,"Residencial Sur",2423808.92355,0,0.798683433917006,0
46695,"Morera","05/09/2011 10:23","Bajo (2 - 4 mts)",7,"Chico",-68.8326182178,-32.8697673014,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.249000724710866,0
11573,"Paraiso","10/05/2010 11:50","Medio (4 - 8 mts)",145,"Grande",-68.8518342941,-32.8671725365,6,"Residencial Norte",2694682.37982,0,0.194015409435972,0
23755,"Fresno americano","25/01/2011 10:35","Medio (4 - 8 mts)",36,"Mediano",-68.8492719241,-32.9001279609,2,"Barrio Civico",2366816.36021,0,0.945658262537395,0
38147,"Fresno europeo","21/10/2010 10:44","Bajo (2 - 4 mts)",30,"Mediano",-68.8461973046,-32.8702083125,6,"Residencial Norte",2694682.37982,0,0.254699104527022,0
41669,"Fresno europeo","26/04/2011 10:04","Medio (4 - 8 mts)",60,"Mediano",-68.8372696199,-32.8770784829,1,"Parque Central",1655357.93265,0,0.855351914977531,0
22998,"Paraiso","17/06/2011 17:21","Alto (> 8 mts)",98,"Grande",-68.8570814211,-32.8997637412,5,"Residencial Sur",2423808.92355,0,0.781345242265585,0
14325,"Paraiso sombrilla","01/12/2011 12:33","Bajo (2 - 4 mts)",80,"Grande",-68.8783864555,-32.8670548182,8,"Aeroparque",2203364.73622,0,0.679917804024233,0
2716,"Fresno americano","12/10/2011 14:18","Alto (> 8 mts)",100,"Grande",-68.8316019716,-32.8826279711,3,"Parque O'Higgins",1531146.02653,1,0.67787369321389,0
17717,"Paraiso","18/07/2011 09:24","Medio (4 - 8 mts)",120,"Grande",-68.8424557796,-32.8675020984,4,"Cuarta Oeste",1173332.70145,0,0.759789485266924,0
26750,"Morera","11/01/2012 12:30","Alto (> 8 mts)",130,"Grande",-68.8346684662,-32.8951348844,3,"Parque O'Higgins",1531146.02653,0,0.960231335811036,0
48048,"Morera","27/09/2011 11:46","Alto (> 8 mts)",160,"Grande",-68.8255305218,-32.8665333105,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.258726897444297,0
38333,"Morera","10/11/2010 09:44","Alto (> 8 mts)",185,"Grande",-68.8534607012,-32.8690530433,6,"Residencial Norte",2694682.37982,0,0.340019147611356,0
14359,"Fresno europeo","01/12/2011 13:16","Bajo (2 - 4 mts)",32,"Mediano",-68.8778218303,-32.8658172979,8,"Aeroparque",2203364.73622,0,0.154302292539514,0
37442,"lamo blanco","05/01/2011 12:22","Alto (> 8 mts)",133,"Grande",-68.8579555657,-32.8711794491,6,"Residencial Norte",2694682.37982,0,0.472123368897359,0
41975,"Fresno europeo","20/04/2011 14:10","Alto (> 8 mts)",180,"Grande",-68.8377773244,-32.8795759919,1,"Parque Central",1655357.93265,0,0.88483909517406,0
36275,"Pltano","17/03/2011 09:45","Alto (> 8 mts)",180,"Grande",-68.8540158495,-32.8776141057,6,"Residencial Norte",2694682.37982,0,0.318943046372245,0
44722,"Morera","26/08/2011 13:25","Alto (> 8 mts)",180,"Grande",-68.8238132166,-32.8680056665,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.630615867463347,0
32180,"Morera","11/05/2011 09:22","Medio (4 - 8 mts)",200,"Grande",-68.8583031486,-32.885931188,5,"Residencial Sur",2423808.92355,0,0.383407338372006,0
14832,"Morera","07/12/2011 10:12","Bajo (2 - 4 mts)",50,"Mediano",-68.8782769259,-32.86940746,8,"Aeroparque",2203364.73622,0,0.035399729380444,0
20473,"Jacarand","02/06/2011 13:14","Alto (> 8 mts)",112,"Grande",-68.8599996447,-32.8969633899,5,"Residencial Sur",2423808.92355,0,0.234685231266505,0
26316,"Pltano","21/10/2011 08:39","Alto (> 8 mts)",145,"Grande",-68.8315625181,-32.8897282914,3,"Parque O'Higgins",1531146.02653,0,0.0224315050080124,0
13559,"Fresno europeo","28/01/2011 09:59","Medio (4 - 8 mts)",180,"Grande",-68.8505614226,-32.8639440476,6,"Residencial Norte",2694682.37982,0,0.877159721262305,0
41619,"Fresno americano","03/05/2011 12:13","Alto (> 8 mts)",122,"Grande",-68.836703981,-32.8762953925,1,"Parque Central",1655357.93265,0,0.148298485395353,0
15928,"Fresno americano","24/11/2011 12:06","Muy bajo (1 - 2 mts)",18,"Chico",-68.8735069898,-32.8770798713,7,"Residencial Parque",1786336.08966,0,0.763373937259861,0
40404,"Pltano","12/04/2011 10:34","Alto (> 8 mts)",190,"Grande",-68.8450357063,-32.8828688035,1,"Parque Central",1655357.93265,0,0.624343275974972,0
6032,"Ligustro","20/04/2011 10:25","Bajo (2 - 4 mts)",180,"Grande",-68.848867315,-32.8861964523,1,"Parque Central",1655357.93265,0,0.309799604822266,0
2929,"Morera","21/09/2011 08:54","Alto (> 8 mts)",76,"Grande",-68.8292180938,-32.8736408569,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.0519735833367001,0
17967,"Morera","01/08/2011 09:40","Medio (4 - 8 mts)",200,"Grande",-68.8396781425,-32.8672196358,4,"Cuarta Oeste",1173332.70145,1,0.561908875277682,0
16715,"Paraiso","21/07/2011 14:16","Alto (> 8 mts)",190,"Grande",-68.8403181722,-32.8630583598,4,"Cuarta Oeste",1173332.70145,0,0.79886404889997,0
31673,"Fresno europeo","14/06/2011 10:22","Alto (> 8 mts)",127,"Grande",-68.8589198375,-32.8887045128,5,"Residencial Sur",2423808.92355,0,0.851924847317835,0
15131,"Acacia SP","18/11/2011 08:47","Muy bajo (1 - 2 mts)",5,"Chico",-68.8591449036,-32.8696553205,6,"Residencial Norte",2694682.37982,0,0.320860020467711,0
46350,"Morera","19/09/2011 14:10","Alto (> 8 mts)",164,"Grande",-68.8261097181,-32.8741466688,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.697646497741976,0
15188,"Paraiso","17/11/2011 13:32","Bajo (2 - 4 mts)",60,"Mediano",-68.860109819,-32.8689448092,6,"Residencial Norte",2694682.37982,0,0.299137741009643,0
9789,"Paraiso","18/01/2011 08:17","Medio (4 - 8 mts)",140,"Grande",-68.8469907952,-32.8631581231,4,"Cuarta Oeste",1173332.70145,0,0.0861425525165468,0
25635,"Morera","15/02/2011 14:57","Alto (> 8 mts)",58,"Mediano",-68.8374103279,-32.9009791646,2,"Barrio Civico",2366816.36021,0,0.92090817877059,0
3255,"Prunas","28/09/2011 11:14","Bajo (2 - 4 mts)",15,"Chico",-68.8226999102,-32.8727346164,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.808456729117056,0
26383,"Pltano","25/10/2011 09:55","Alto (> 8 mts)",170,"Grande",-68.8334276638,-32.889939193,3,"Parque O'Higgins",1531146.02653,0,0.760332316407927,0
40731,"Morera","15/04/2011 12:30","Alto (> 8 mts)",200,"Grande",-68.843020326,-32.8844935095,1,"Parque Central",1655357.93265,0,0.380118995197797,0
11466,"Paraiso","06/01/2011 13:17","Alto (> 8 mts)",84,"Grande",-68.8434120802,-32.8628362064,4,"Cuarta Oeste",1173332.70145,0,0.0913704037638305,0
29501,"Morera","18/02/2011 11:15","Medio (4 - 8 mts)",118,"Grande",-68.8449846702,-32.8920220205,2,"Barrio Civico",2366816.36021,0,0.136751468305517,0
48259,"Paraiso","02/09/2011 09:51","Medio (4 - 8 mts)",140,"Grande",-68.8303893492,-32.870707263,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.613964870498088,0
779,"Aguaribay","14/12/2011 10:42","Alto (> 8 mts)",130,"Grande",-68.879753211,-32.867546219,8,"Aeroparque",2203364.73622,0,0.706963582362819,0
41967,"Morera","20/04/2011 13:39","Alto (> 8 mts)",158,"Grande",-68.8375806959,-32.8788284425,1,"Parque Central",1655357.93265,0,0.879466434060441,0
47400,"Morera","23/09/2011 15:01","Alto (> 8 mts)",165,"Grande",-68.826287205,-32.8746383384,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.270263021227826,0
18612,"Morera","06/07/2011 11:41","Alto (> 8 mts)",190,"Grande",-68.8378098999,-32.8747254356,1,"Parque Central",1655357.93265,1,0.168170895218369,0
39036,"Fresno europeo","23/12/2010 14:15","Medio (4 - 8 mts)",55,"Mediano",-68.8541163831,-32.8712975864,6,"Residencial Norte",2694682.37982,0,0.112520821515319,0
30435,"Pltano","21/02/2011 10:09","Alto (> 8 mts)",220,"Grande",-68.841747168,-32.888014906,3,"Parque O'Higgins",1531146.02653,0,0.229454474438125,0
5887,"Braquiquito","11/04/2011 09:27","Alto (> 8 mts)",82,"Grande",-68.8435389159,-32.8817225081,1,"Parque Central",1655357.93265,0,0.50289113884034,0
18211,"Perenne","05/08/2011 12:09","Bajo (2 - 4 mts)",60,"Mediano",-68.8389038606,-32.86817601,4,"Cuarta Oeste",1173332.70145,0,0.550688148744907,0
37574,"Morera","16/11/2010 10:23","Medio (4 - 8 mts)",88,"Grande",-68.8571298881,-32.8704296668,6,"Residencial Norte",2694682.37982,0,0.743975241275636,0
42806,"Morera","07/10/2011 17:39","Alto (> 8 mts)",196,"Grande",-68.831444646,-32.8776830187,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.718721418404761,0
1710,"Paraiso","24/11/2011 12:07","Alto (> 8 mts)",130,"Grande",-68.8722715565,-32.8789341617,7,"Residencial Parque",1786336.08966,0,0.0581031342620437,0
14288,"Jacarand","06/12/2011 10:26","Medio (4 - 8 mts)",80,"Grande",-68.8773420069,-32.868716383,8,"Aeroparque",2203364.73622,0,0.19181444583468,0
27189,"Pltano","26/10/2011 12:36","Alto (> 8 mts)",176,"Grande",-68.8357123129,-32.8909041683,3,"Parque O'Higgins",1531146.02653,1,0.14725851386465,0
3286,"Morera","30/09/2011 11:22","Medio (4 - 8 mts)",52,"Mediano",-68.827974646,-32.8769531016,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.184900016104461,0
46696,"Jacarand","05/09/2011 10:21","Bajo (2 - 4 mts)",20,"Chico",-68.8326095605,-32.8697191501,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.620720236792744,0
10570,"Paraiso sombrilla","23/03/2011 10:57","Medio (4 - 8 mts)",144,"Grande",-68.8550153569,-32.8759148787,6,"Residencial Norte",2694682.37982,0,0.539480954596112,0
43615,"Pltano","13/10/2011 08:24","Alto (> 8 mts)",168,"Grande",-68.8338603427,-32.8830878338,3,"Parque O'Higgins",1531146.02653,0,0.302467688094722,0
39996,"Acer","20/04/2011 13:00","Bajo (2 - 4 mts)",40,"Mediano",-68.8440681397,-32.8775417767,1,"Parque Central",1655357.93265,0,0.846457453617499,0
46604,"Morera","05/09/2011 10:13","Alto (> 8 mts)",168,"Grande",-68.831793562,-32.8687683632,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.35442722766699,0
10586,"Paraiso sombrilla","29/03/2011 13:03","Bajo (2 - 4 mts)",15,"Chico",-68.8525294755,-32.8764806384,6,"Residencial Norte",2694682.37982,0,0.540711526950037,0
22064,"Pltano","10/06/2011 12:31","Alto (> 8 mts)",200,"Grande",-68.8539105223,-32.8979777953,5,"Residencial Sur",2423808.92355,0,0.749903325364515,0
15346,"Paraiso","16/11/2011 12:54","Medio (4 - 8 mts)",125,"Grande",-68.8600557615,-32.8702719334,6,"Residencial Norte",2694682.37982,1,0.840567416697672,0
4964,"Morera","15/07/2011 10:40","Alto (> 8 mts)",180,"Grande",-68.8447173991,-32.8701965232,4,"Cuarta Oeste",1173332.70145,0,0.529289279802009,0
30157,"Pltano","31/03/2011 15:00","Alto (> 8 mts)",98,"Grande",-68.8399864795,-32.8873941682,3,"Parque O'Higgins",1531146.02653,0,0.673290262521505,0
20894,"Jacarand","27/05/2011 09:41","Muy bajo (1 - 2 mts)",8,"Chico",-68.8614598196,-32.8955895129,5,"Residencial Sur",2423808.92355,0,0.910528997967539,0
46838,"Pltano","16/09/2011 07:58","Alto (> 8 mts)",280,"Grande",-68.8343135268,-32.8717625475,4,"Cuarta Oeste",1173332.70145,1,0.482319463395998,0
8800,"Morera","02/02/2011 09:48","Medio (4 - 8 mts)",60,"Mediano",-68.8546787198,-32.8688581886,6,"Residencial Norte",2694682.37982,0,0.521934439898846,0
29877,"Pltano","11/03/2011 12:54","Alto (> 8 mts)",185,"Grande",-68.8422131934,-32.8914199575,2,"Barrio Civico",2366816.36021,0,0.54862115952272,0
8181,"Fresno europeo","11/03/2011 12:42","Bajo (2 - 4 mts)",12,"Chico",-68.8421167023,-32.8913738206,2,"Barrio Civico",2366816.36021,0,0.00786924833102987,0
27782,"Pltano","03/11/2011 10:27","Alto (> 8 mts)",110,"Grande",-68.8351517197,-32.8943303505,3,"Parque O'Higgins",1531146.02653,0,0.444191503503186,0
40983,"Morera","14/04/2011 09:46","Alto (> 8 mts)",198,"Grande",-68.8385078317,-32.8809957798,1,"Parque Central",1655357.93265,1,0.106369796355158,0
23580,"Morera","24/01/2011 09:11","Alto (> 8 mts)",170,"Grande",-68.8511939848,-32.9022684407,2,"Barrio Civico",2366816.36021,0,0.509289803805334,0
33160,"Pltano","09/06/2011 08:55","Alto (> 8 mts)",165,"Grande",-68.8530385942,-32.8915582665,5,"Residencial Sur",2423808.92355,0,0.628543708750281,0
13946,"Paraiso sombrilla","29/11/2011 13:09","Medio (4 - 8 mts)",95,"Grande",-68.87634737,-32.8652874827,8,"Aeroparque",2203364.73622,0,0.860829707125877,0
38655,"Paraiso","16/12/2010 11:11","Alto (> 8 mts)",250,"Grande",-68.8513008551,-32.870418982,6,"Residencial Norte",2694682.37982,0,0.110628658167155,0
42477,"Pltano","30/09/2011 12:52","Alto (> 8 mts)",220,"Grande",-68.8311518148,-32.8764929542,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.70867698076869,0
30643,"Morera","01/02/2011 13:15","Bajo (2 - 4 mts)",40,"Mediano",-68.8546069079,-32.8673822092,6,"Residencial Norte",2694682.37982,0,0.276456502378371,0
22648,"Fresno americano","21/06/2011 11:41","Bajo (2 - 4 mts)",40,"Mediano",-68.8599596775,-32.901146584,5,"Residencial Sur",2423808.92355,0,0.35727301548641,0
24132,"Fresno europeo","25/01/2011 13:34","Medio (4 - 8 mts)",120,"Grande",-68.8464460965,-32.9022350181,2,"Barrio Civico",2366816.36021,0,0.340268679954844,0
8654,"Morera","04/02/2011 09:09","Alto (> 8 mts)",80,"Grande",-68.8414565108,-32.9024996548,2,"Barrio Civico",2366816.36021,0,0.548046688020394,0
30865,"Fresno europeo","15/02/2011 12:59","Medio (4 - 8 mts)",40,"Mediano",-68.8555543694,-32.8656332211,6,"Residencial Norte",2694682.37982,0,0.476854189342153,0
33029,"Morera","19/05/2011 10:26","Alto (> 8 mts)",184,"Grande",-68.8515514337,-32.8873039523,5,"Residencial Sur",2423808.92355,1,0.926308426497322,0
46325,"Morera","27/09/2011 13:26","Alto (> 8 mts)",185,"Grande",-68.8235245234,-32.8738103234,4,"Cuarta Este Área Fundacional",1822015.85685,1,0.164320049526138,0
36830,"Pltano","07/04/2011 11:37","Alto (> 8 mts)",180,"Grande",-68.8588781428,-32.8802957226,7,"Residencial Parque",1786336.08966,1,0.399963975432112,0
47994,"Morera","31/08/2011 09:36","Alto (> 8 mts)",135,"Grande",-68.8257777537,-32.8695965305,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.774965040973709,0
31977,"Fresno europeo","02/06/2011 12:43","Bajo (2 - 4 mts)",70,"Grande",-68.8589683105,-32.8836739358,5,"Residencial Sur",2423808.92355,0,0.36403430377117,0
39760,"Fresno europeo","13/07/2011 13:51","Alto (> 8 mts)",143,"Grande",-68.8499579129,-32.8831310095,1,"Parque Central",1655357.93265,0,0.334087157865903,0
9311,"Morera","16/02/2011 12:57","Medio (4 - 8 mts)",64,"Grande",-68.8462572623,-32.8661071955,4,"Cuarta Oeste",1173332.70145,0,0.439509473156365,0
11203,"Acer","24/01/2011 08:56","Medio (4 - 8 mts)",82,"Grande",-68.845786822,-32.901969036,2,"Barrio Civico",2366816.36021,0,0.336482324147212,0
21712,"Fresno europeo","09/06/2011 11:19","Alto (> 8 mts)",103,"Grande",-68.8559728968,-32.8958162202,5,"Residencial Sur",2423808.92355,1,0.829161745601813,0
12788,"Fresno americano","21/01/2011 13:36","Alto (> 8 mts)",110,"Grande",-68.8479956203,-32.8635473376,4,"Cuarta Oeste",1173332.70145,0,0.588294698963344,0
45115,"Morera","31/08/2011 15:53","Alto (> 8 mts)",160,"Grande",-68.8257481835,-32.8705115284,4,"Cuarta Este Área Fundacional",1822015.85685,0,0.216960243697253,0
17182,"Olmo comun","04/07/2011 10:47","Alto (> 8 mts)",150,"Grande",-68.8362830945,-32.8632442247,4,"Cuarta Oeste",1173332.70145,0,0.765467488475534,0
31546,"Pltano","18/05/2011 10:11","Alto (> 8 mts)",170,"Grande",-68.8597325006,-32.8903236933,5,"Residencial Sur",2423808.92355,0,0.711838285382664,0
14368,"Fresno europeo","30/11/2011 11:49","Bajo (2 - 4 mts)",40,"Mediano",-68.8782484506,-32.8658046816,8,"Aeroparque",2203364.73622,0,0.119347890807943,0
11529,"Fresno europeo","23/02/2011 09:25","Medio (4 - 8 mts)",35,"Mediano",-68.853146036,-32.8661462167,6,"Residencial Norte",2694682.37982,0,0.138116817078525,0
28957,"Pltano","25/04/2011 12:33","Alto (> 8 mts)",180,"Grande",-68.8450016373,-32.886082959,1,"Parque Central",1655357.93265,0,0.309561701312032,0
19288,"Perenne","13/07/2011 21:04","Muy bajo (1 - 2 mts)",10,"Chico",-68.8359246393,-32.869867594,4,"Cuarta Oeste",1173332.70145,0,0.569286027078763,0
11227,"Fresno americano","14/01/2011 14:34","Alto (> 8 mts)",80,"Grande",-68.8453740951,-32.8998027408,2,"Barrio Civico",2366816.36021,0,0.514759281363065,0
26944,"Fresno europeo","01/11/2011 17:10","Medio (4 - 8 mts)",140,"Grande",-68.8362821731,-32.887457483,3,"Parque O'Higgins",1531146.02653,0,0.063596783070192,0
36555,"Fresno europeo","07/06/2011 12:51","Medio (4 - 8 mts)",90,"Grande",-68.8575937656,-32.8835456958,5,"Residencial Sur",2423808.92355,1,0.658685912275798,0
